ID,shortName,longName,altName,saintType,feastRank,color,month,day,feastStation,feastInfo,properMass,massExceptions
s517,St. Paschal Baylon,,,C,dbl4,white,5,17,,,,
s518,St. Venantius,,,MM,dbl4,red,5,18,,,,
s519,St. Peter Celestine,,,PC,dbl4,white,5,19,,,,
c519,St. Pudentiana,,,V,smpl,white,5,19,,,,
s520,St. Bernardine Siena,Saint Bernardine of Siena,,C,dbl5,white,5,20,,,,
s525,St. Gregory VII,,,PC,dbl4,white,5,25,,,,
c525,St. Urban I,,,PM,smpl,white,5,25,,,,
s526,St. Philip Neri,,,C,dbl4,white,5,26,,,,
c526,St. Eleutherius,,,PM,smpl,red,5,26,,,,
s527,St. Bede,,,CD,dbl4,white,5,27,,,,
c527,St. John I,,,PM,smpl,red,5,27,,,,
s528,St. Augustine of Canterbury,,,BC,dbl4,white,5,28,,,,
s529,St. Mary Magdalen dei Pazzi,,,V,dbl5,white,5,29,,,,
c530,St. Felix I,,,PM,smpl,red,5,30,,,,
b531,BVM Queenship,,,,dbl2,blue,5,31,,,,
s601,St. Angela Merici,,,V,dbl4,white,6,1,,,,
c602,Ss. Marcellinus et al.,"Saints Mercellinus, Peter, and Erasmus",,MM,smpl,red,6,2,,,,
s604,St. Francis Caracciolo,,,C,dbl4,white,6,4,,,,
s605,St. Boniface,,,BM,dbl4,red,6,5,,,,
s606,St. Norbert,,,BC,dbl4,white,6,6,,,,
s610,St. Margaret,,,QW,dbl3,white,6,10,,,,
s611,St. Barnabas,,,S,dbl3,red,6,11,,,,
s612,St. John of St. Facundus,,,C,dbl4,white,6,12,,,,
c612,Ss. Basilides et al.,"Saints Basilides, Cyrinus, Nabor, and Nazarius",,MM,smpl,red,6,12,,,,
s613,St. Anthony of Padua,,,CD,dbl4,white,6,13,,,,
s614,St. Basil,,,BCD,dbl4,white,6,14,,,,
c615,Ss. Vitus et al.,"Saints Vitus, Modestus, and Crescentia",,MM,smpl,red,6,15,,,,
s618,St. Ephrem,Saint Ephrem the Syrian,,NCD,dbl4,white,6,18,,,,
c618,Ss. Mark & Marcellinus,,,MM,smpl,red,6,18,,,,
s619,St. Juliana Falconieri,,,V,dbl4,white,6,19,,,,
c619,Ss. Gervase & Protase,,,MM,smpl,red,6,19,,,,
c620,St. Silverius,,,PM,smpl,red,6,20,,,,
s621,St. Aloysius,,,C,dbl4,white,6,21,,,,
s622,St. Paulinus,,,BC,dbl4,white,6,22,,,,
v623,St. John's Eve,Vigil of Saint John the Baptist,,,vgl4,purple,6,23,,,,
s624,St. John the Baptist,Nativity of Saint John the Baptist,,,dbl1,oct4,6,24,,,,
o625,,Feria I in the Octave of Saint John the Baptist,,,oct4,oct4,6,25,,,,
